area_name,n,population,rate,lq
Gorse Hill,36,12422,2.9,2.15
Bucklow-St Martins,29,10482,2.8,2.05
Village,24,10912,2.2,1.63
Priory,23,11426,2,1.49
Longford,23,12304,1.9,1.38
Bowdon,16,9536,1.7,1.24
Stretford,17,11451,1.5,1.1
Altrincham,18,12521,1.4,1.06
Davyhulme East,13,9739,1.3,0.99
Broadheath,16,13894,1.2,0.85
Timperley,12,11242,1.1,0.79
Urmston,12,11447,1,0.78
Ashton upon Mersey,9,10066,0.9,0.66
Brooklands,10,10692,0.9,0.69
Clifford,11,12199,0.9,0.67
Hale Central,10,10767,0.9,0.69
Hale Barns,8,10109,0.8,0.59
St Mary's,10,11895,0.8,0.62
Davyhulme West,7,10042,0.7,0.52
Sale Moor,7,10723,0.7,0.48
Flixton,6,10804,0.6,0.41
