month,category,area_code,area_name,n,population,rate,lq
2017-12-01,Bicycle theft,E05000819,Altrincham,4,12521,0.3,1.82
2017-12-01,Bicycle theft,E05000820,Ashton upon Mersey,3,10066,0.3,1.7
2017-12-01,Bicycle theft,E05000826,Davyhulme East,3,9739,0.3,1.75
2017-12-01,Bicycle theft,E05000822,Broadheath,3,13894,0.2,1.23
2017-12-01,Bicycle theft,E05000832,Longford,2,12304,0.2,0.93
2017-12-01,Bicycle theft,E05000833,Priory,2,11426,0.2,1
2017-12-01,Bicycle theft,E05000821,Bowdon,1,9536,0.1,0.6
2017-12-01,Bicycle theft,E05000825,Clifford,1,12199,0.1,0.47
2017-12-01,Bicycle theft,E05000835,Sale Moor,1,10723,0.1,0.53
2017-12-01,Bicycle theft,E05000834,St Mary's,1,11895,0.1,0.48
2017-12-01,Bicycle theft,E05000839,Village,1,10912,0.1,0.52
