month,category,area_code,area_name,n,percent
2017-12-01,Bicycle theft,E05000820,Ashton upon Mersey,3,7
2017-12-01,Bicycle theft,E05000822,Broadheath,3,4
2017-12-01,Bicycle theft,E05000819,Altrincham,4,3
2017-12-01,Bicycle theft,E05000832,Longford,2,3
2017-12-01,Bicycle theft,E05000826,Davyhulme East,3,2
2017-12-01,Bicycle theft,E05000833,Priory,2,2
2017-12-01,Bicycle theft,E05000821,Bowdon,1,2
2017-12-01,Bicycle theft,E05000834,St Mary's,1,2
2017-12-01,Bicycle theft,E05000835,Sale Moor,1,2
2017-12-01,Bicycle theft,E05000839,Village,1,2
2017-12-01,Bicycle theft,E05000825,Clifford,1,1
2017-12-01,Bicycle theft,E08000009,Trafford,22,1
2017-12-01,Bicycle theft,E47000001,Greater Manchester,211,1
