month,category,location,area_code,area_name
2014-12-01,Burglary,On or near Coleby Avenue,E05000825,Clifford
2014-12-01,Burglary,On or near Crescent Road,E05000831,Hale Central
2014-12-01,Burglary,On or near Harp Road,E05000829,Gorse Hill
2014-12-01,Burglary,On or near Albert Road,E05000819,Altrincham
2014-12-01,Burglary,On or near Edge Lane,E05000832,Longford
2014-12-01,Burglary,On or near Thornton Avenue,E05000828,Flixton
2014-12-01,Burglary,On or near Rutland Road,E05000819,Altrincham
2014-12-01,Burglary,On or near Green Courts,E05000821,Bowdon
2014-12-01,Burglary,On or near Mosley Road,E05000829,Gorse Hill
2014-12-01,Burglary,On or near Moss View Road,E05000824,Bucklow-St Martins
2014-12-01,Burglary,On or near Park Road,E05000824,Bucklow-St Martins
2014-12-01,Burglary,On or near Waterside,E05000829,Gorse Hill
2014-12-01,Burglary,On or near Kingsnorth Road,E05000827,Davyhulme West
2014-12-01,Burglary,On or near Rennie Close,E05000832,Longford
2014-12-01,Burglary,On or near Green Walk,E05000837,Timperley
2014-12-01,Burglary,On or near Moss Way,E05000834,St Mary's
2014-12-01,Burglary,On or near Albert Road,E05000819,Altrincham
2014-12-01,Burglary,On or near Wolsey Drive,E05000821,Bowdon
2014-12-01,Burglary,On or near St Andrew's Avenue,E05000822,Broadheath
2014-12-01,Burglary,On or near Windsor Drive,E05000822,Broadheath
2014-12-01,Burglary,On or near Trafford Boulevard,E05000826,Davyhulme East
2014-12-01,Burglary,On or near Hart Street,E05000819,Altrincham
2014-12-01,Burglary,On or near Trafford Boulevard,E05000826,Davyhulme East
2014-12-01,Burglary,On or near Harcourt Road,E05000819,Altrincham
2014-12-01,Burglary,On or near Waterside,E05000829,Gorse Hill
2014-12-01,Burglary,On or near Mosley Road,E05000829,Gorse Hill
2014-12-01,Burglary,On or near Goodwood Crescent,E05000839,Village
2014-12-01,Burglary,On or near Longbridge Road,E05000829,Gorse Hill
2014-12-01,Burglary,On or near Barton Road,E05000836,Stretford
2014-12-01,Burglary,On or near Urmston Lane,E05000836,Stretford
2014-12-01,Burglary,On or near Leicester Road,E05000833,Priory
2014-12-01,Burglary,On or near Pedestrian Subway,E05000832,Longford
2014-12-01,Burglary,On or near School Road,E05000831,Hale Central
2014-12-01,Burglary,On or near St Leonard's Court,E05000820,Ashton upon Mersey
2014-12-01,Burglary,On or near Moss Way,E05000834,St Mary's
2014-12-01,Burglary,On or near Selby Close,E05000829,Gorse Hill
2014-12-01,Burglary,On or near Milwain Road,E05000836,Stretford
2014-12-01,Burglary,On or near Church Road West,E05000835,Sale Moor
2014-12-01,Burglary,On or near Capesthorne Road,E05000839,Village
2014-12-01,Burglary,On or near Broad Lane,E05000830,Hale Barns
2014-12-01,Burglary,On or near Moss Road,E05000829,Gorse Hill
2014-12-01,Burglary,On or near Warren Road,E05000829,Gorse Hill
2014-12-01,Burglary,On or near Victoria Road,E05000823,Brooklands
2014-12-01,Burglary,On or near Montague Road,E05000833,Priory
2014-12-01,Burglary,On or near Thomas Gibbon Close,E05000836,Stretford
2014-12-01,Burglary,On or near Dorchester Close,E05000830,Hale Barns
2014-12-01,Burglary,On or near Quarrymans View,E05000839,Village
2014-12-01,Burglary,On or near Danefield Road,E05000833,Priory
2014-12-01,Burglary,On or near Acresfield Road,E05000837,Timperley
2014-12-01,Burglary,On or near Seymour Grove,E05000839,Village
2014-12-01,Burglary,On or near Legh Road,E05000835,Sale Moor
2014-12-01,Burglary,On or near Heyes Lane,E05000839,Village
2014-12-01,Burglary,On or near Hawthorn Close,E05000837,Timperley
2014-12-01,Burglary,On or near Bennett Street,E05000836,Stretford
2014-12-01,Burglary,On or near Oulton Avenue,E05000833,Priory
2014-12-01,Burglary,On or near Norman's Place,E05000819,Altrincham
2014-12-01,Burglary,On or near Edgbaston Drive,E05000832,Longford
2014-12-01,Burglary,On or near Ridgeway Road,E05000830,Hale Barns
2014-12-01,Burglary,On or near Jack Lane,E05000838,Urmston
