month,type,value
2014-12-01,Observed,141
2015-01-01,Observed,137
2015-02-01,Observed,149
2015-03-01,Observed,138
2015-04-01,Observed,148
2015-05-01,Observed,120
2015-06-01,Observed,125
2015-07-01,Observed,115
2015-08-01,Observed,136
2015-09-01,Observed,114
2015-10-01,Observed,153
2015-11-01,Observed,176
2015-12-01,Observed,161
2016-01-01,Observed,127
2016-02-01,Observed,103
2016-03-01,Observed,124
2016-04-01,Observed,118
2016-05-01,Observed,115
2016-06-01,Observed,92
2016-07-01,Observed,92
2016-08-01,Observed,103
2016-09-01,Observed,127
2016-10-01,Observed,97
2016-11-01,Observed,153
2016-12-01,Observed,192
2017-01-01,Observed,171
2017-02-01,Observed,163
2017-03-01,Observed,148
2017-04-01,Observed,143
2017-05-01,Observed,150
2017-06-01,Observed,171
2017-07-01,Observed,176
2017-08-01,Observed,150
2017-09-01,Observed,129
2017-10-01,Observed,142
2017-11-01,Observed,137
2014-12-01,Trend,130.2546284708533
2015-01-01,Trend,131.21867171409156
2015-02-01,Trend,132.18271495732984
2015-03-01,Trend,133.0209513398977
2015-04-01,Trend,133.85918772246552
2015-05-01,Trend,134.55433578740275
2015-06-01,Trend,135.24948385234
2015-07-01,Trend,135.5777370134424
2015-08-01,Trend,135.90599017454483
2015-09-01,Trend,134.74090757626124
2015-10-01,Trend,133.57582497797767
2015-11-01,Trend,131.58520779276571
2015-12-01,Trend,129.59459060755376
2016-01-01,Trend,127.19550375664785
2016-02-01,Trend,124.79641690574195
2016-03-01,Trend,122.41274465588515
2016-04-01,Trend,120.02907240602833
2016-05-01,Trend,119.67314740619103
2016-06-01,Trend,119.31722240635374
2016-07-01,Trend,121.96736802018549
2016-08-01,Trend,124.61751363401723
2016-09-01,Trend,128.3479781482718
2016-10-01,Trend,132.07844266252638
2016-11-01,Trend,136.49100470786198
2016-12-01,Trend,140.90356675319757
2017-01-01,Trend,145.68355330280949
2017-02-01,Trend,150.4635398524214
2017-03-01,Trend,151.69013410224744
2017-04-01,Trend,152.91672835207348
2017-05-01,Trend,153.24155298650777
2017-06-01,Trend,153.56637762094203
2017-07-01,Trend,153.7081261504298
2017-08-01,Trend,153.84987467991755
2017-09-01,Trend,153.7006521893307
2017-10-01,Trend,153.55142969874387
2017-11-01,Trend,153.08134227750244
