month,category,area_code,area_name,observed,trend
2014-12-01,Robbery,E08000009,Trafford,20,15.383109292767154
2015-01-01,Robbery,E08000009,Trafford,18,15.712199343518673
2015-02-01,Robbery,E08000009,Trafford,13,16.04128939427019
2015-03-01,Robbery,E08000009,Trafford,9,16.38781641221589
2015-04-01,Robbery,E08000009,Trafford,26,16.734343430161594
2015-05-01,Robbery,E08000009,Trafford,17,17.067525033272364
2015-06-01,Robbery,E08000009,Trafford,10,17.400706636383134
2015-07-01,Robbery,E08000009,Trafford,11,17.694125373310463
2015-08-01,Robbery,E08000009,Trafford,20,17.987544110237792
2015-09-01,Robbery,E08000009,Trafford,19,18.151314310893518
2015-10-01,Robbery,E08000009,Trafford,27,18.315084511549248
2015-11-01,Robbery,E08000009,Trafford,21,18.14789601925629
2015-12-01,Robbery,E08000009,Trafford,19,17.980707526963332
2016-01-01,Robbery,E08000009,Trafford,27,17.677977594461776
2016-02-01,Robbery,E08000009,Trafford,12,17.37524766196022
2016-03-01,Robbery,E08000009,Trafford,14,16.959128011214176
2016-04-01,Robbery,E08000009,Trafford,14,16.543008360468132
2016-05-01,Robbery,E08000009,Trafford,15,16.330522613364515
2016-06-01,Robbery,E08000009,Trafford,12,16.1180368662609
2016-07-01,Robbery,E08000009,Trafford,12,16.494465760792835
2016-08-01,Robbery,E08000009,Trafford,17,16.870894655324765
2016-09-01,Robbery,E08000009,Trafford,16,18.145403711416115
2016-10-01,Robbery,E08000009,Trafford,16,19.419912767507462
2016-11-01,Robbery,E08000009,Trafford,21,21.243727001949814
2016-12-01,Robbery,E08000009,Trafford,27,23.06754123639217
2017-01-01,Robbery,E08000009,Trafford,19,24.82735561992044
2017-02-01,Robbery,E08000009,Trafford,22,26.587170003448712
2017-03-01,Robbery,E08000009,Trafford,25,27.803240004978573
2017-04-01,Robbery,E08000009,Trafford,51,29.019310006508434
2017-05-01,Robbery,E08000009,Trafford,33,30.166660035523037
2017-06-01,Robbery,E08000009,Trafford,34,31.314010064537637
2017-07-01,Robbery,E08000009,Trafford,25,32.41628769200372
2017-08-01,Robbery,E08000009,Trafford,35,33.51856531946981
2017-09-01,Robbery,E08000009,Trafford,40,34.519724699312214
2017-10-01,Robbery,E08000009,Trafford,28,35.52088407915462
2017-11-01,Robbery,E08000009,Trafford,33,36.42687549841989
