month,category,area_code,area_name,n,percent
2017-12-01,Robbery,E05000819,Altrincham,6,5
2017-12-01,Robbery,E05000821,Bowdon,2,5
2017-12-01,Robbery,E05000829,Gorse Hill,6,4
2017-12-01,Robbery,E05000832,Longford,3,4
2017-12-01,Robbery,E05000826,Davyhulme East,5,3
2017-12-01,Robbery,E05000825,Clifford,3,3
2017-12-01,Robbery,E05000828,Flixton,1,3
2017-12-01,Robbery,E05000837,Timperley,1,3
2017-12-01,Robbery,E05000833,Priory,2,2
2017-12-01,Robbery,E05000827,Davyhulme West,1,2
2017-12-01,Robbery,E05000831,Hale Central,1,2
2017-12-01,Robbery,E05000834,St Mary's,1,2
2017-12-01,Robbery,E05000838,Urmston,1,2
2017-12-01,Robbery,E05000839,Village,1,2
2017-12-01,Robbery,E05000836,Stretford,1,1
2017-12-01,Robbery,E08000009,Trafford,35,2
2017-12-01,Robbery,E47000001,Greater Manchester,625,2
