month,category,area_code,area_name,observed,trend
2015-01-01,Vehicle crime,E08000009,Trafford,112,96.94728532399793
2015-02-01,Vehicle crime,E08000009,Trafford,88,96.21100714121178
2015-03-01,Vehicle crime,E08000009,Trafford,97,95.47472895842564
2015-04-01,Vehicle crime,E08000009,Trafford,92,94.79979122356099
2015-05-01,Vehicle crime,E08000009,Trafford,73,94.12485348869635
2015-06-01,Vehicle crime,E08000009,Trafford,100,93.5099549174403
2015-07-01,Vehicle crime,E08000009,Trafford,82,92.89505634618425
2015-08-01,Vehicle crime,E08000009,Trafford,99,92.33012570162535
2015-09-01,Vehicle crime,E08000009,Trafford,85,91.76519505706646
2015-10-01,Vehicle crime,E08000009,Trafford,100,91.58237213626768
2015-11-01,Vehicle crime,E08000009,Trafford,83,91.39954921546888
2015-12-01,Vehicle crime,E08000009,Trafford,114,91.26509759738778
2016-01-01,Vehicle crime,E08000009,Trafford,75,91.13064597930668
2016-02-01,Vehicle crime,E08000009,Trafford,99,90.3582974232771
2016-03-01,Vehicle crime,E08000009,Trafford,96,89.58594886724751
2016-04-01,Vehicle crime,E08000009,Trafford,93,89.92355953082823
2016-05-01,Vehicle crime,E08000009,Trafford,82,90.26117019440895
2016-06-01,Vehicle crime,E08000009,Trafford,91,92.66877559734657
2016-07-01,Vehicle crime,E08000009,Trafford,75,95.07638100028419
2016-08-01,Vehicle crime,E08000009,Trafford,76,97.77538756354456
2016-09-01,Vehicle crime,E08000009,Trafford,70,100.47439412680492
2016-10-01,Vehicle crime,E08000009,Trafford,100,103.00831785492758
2016-11-01,Vehicle crime,E08000009,Trafford,126,105.54224158305024
2016-12-01,Vehicle crime,E08000009,Trafford,147,109.54834818777942
2017-01-01,Vehicle crime,E08000009,Trafford,147,113.5544547925086
2017-02-01,Vehicle crime,E08000009,Trafford,115,118.23994970056161
2017-03-01,Vehicle crime,E08000009,Trafford,113,122.92544460861463
2017-04-01,Vehicle crime,E08000009,Trafford,80,123.63445649699638
2017-05-01,Vehicle crime,E08000009,Trafford,134,124.34346838537813
2017-06-01,Vehicle crime,E08000009,Trafford,122,123.96521422929456
2017-07-01,Vehicle crime,E08000009,Trafford,131,123.58696007321099
2017-08-01,Vehicle crime,E08000009,Trafford,187,123.16976121587868
2017-09-01,Vehicle crime,E08000009,Trafford,116,122.75256235854636
2017-10-01,Vehicle crime,E08000009,Trafford,135,122.19280624264621
2017-11-01,Vehicle crime,E08000009,Trafford,105,121.63305012674608
2017-12-01,Vehicle crime,E08000009,Trafford,100,120.79934099616325
