month,category,area_code,area_name,n
2016-11-01,Violent crime and sexual offences,E08000009,Trafford,405
2016-12-01,Violent crime and sexual offences,E08000009,Trafford,373
2017-01-01,Violent crime and sexual offences,E08000009,Trafford,414
2017-02-01,Violent crime and sexual offences,E08000009,Trafford,348
2017-03-01,Violent crime and sexual offences,E08000009,Trafford,467
2017-04-01,Violent crime and sexual offences,E08000009,Trafford,426
2017-05-01,Violent crime and sexual offences,E08000009,Trafford,426
2017-06-01,Violent crime and sexual offences,E08000009,Trafford,520
2017-07-01,Violent crime and sexual offences,E08000009,Trafford,554
2017-08-01,Violent crime and sexual offences,E08000009,Trafford,450
2017-09-01,Violent crime and sexual offences,E08000009,Trafford,522
2017-10-01,Violent crime and sexual offences,E08000009,Trafford,497
2017-11-01,Violent crime and sexual offences,E08000009,Trafford,507
