year,gender,age,n,percent
2006,Female,0,1360,0.6
2006,Female,1,1288,0.6
2006,Female,2,1296,0.6
2006,Female,3,1254,0.6
2006,Female,4,1300,0.6
2006,Female,5,1206,0.6
2006,Female,6,1307,0.6
2006,Female,7,1209,0.6
2006,Female,8,1307,0.6
2006,Female,9,1294,0.6
2006,Female,10,1284,0.6
2006,Female,11,1288,0.6
2006,Female,12,1376,0.6
2006,Female,13,1408,0.6
2006,Female,14,1407,0.6
2006,Female,15,1508,0.7
2006,Female,16,1481,0.7
2006,Female,17,1377,0.6
2006,Female,18,1395,0.6
2006,Female,19,940,0.4
2006,Female,20,943,0.4
2006,Female,21,1022,0.5
2006,Female,22,1213,0.6
2006,Female,23,1248,0.6
2006,Female,24,1310,0.6
2006,Female,25,1277,0.6
2006,Female,26,1300,0.6
2006,Female,27,1432,0.7
2006,Female,28,1331,0.6
2006,Female,29,1362,0.6
2006,Female,30,1431,0.7
2006,Female,31,1442,0.7
2006,Female,32,1459,0.7
2006,Female,33,1628,0.7
2006,Female,34,1739,0.8
2006,Female,35,1705,0.8
2006,Female,36,1760,0.8
2006,Female,37,1750,0.8
2006,Female,38,1804,0.8
2006,Female,39,1813,0.8
2006,Female,40,1827,0.8
2006,Female,41,1910,0.9
2006,Female,42,1937,0.9
2006,Female,43,1884,0.9
2006,Female,44,1713,0.8
2006,Female,45,1712,0.8
2006,Female,46,1610,0.7
2006,Female,47,1566,0.7
2006,Female,48,1570,0.7
2006,Female,49,1418,0.7
2006,Female,50,1354,0.6
2006,Female,51,1385,0.6
2006,Female,52,1274,0.6
2006,Female,53,1289,0.6
2006,Female,54,1307,0.6
2006,Female,55,1261,0.6
2006,Female,56,1342,0.6
2006,Female,57,1283,0.6
2006,Female,58,1374,0.6
2006,Female,59,1468,0.7
2006,Female,60,1155,0.5
2006,Female,61,1174,0.5
2006,Female,62,1167,0.5
2006,Female,63,1062,0.5
2006,Female,64,954,0.4
2006,Female,65,910,0.4
2006,Female,66,1032,0.5
2006,Female,67,1011,0.5
2006,Female,68,1018,0.5
2006,Female,69,987,0.5
2006,Female,70,981,0.5
2006,Female,71,952,0.4
2006,Female,72,889,0.4
2006,Female,73,857,0.4
2006,Female,74,853,0.4
2006,Female,75,880,0.4
2006,Female,76,916,0.4
2006,Female,77,812,0.4
2006,Female,78,759,0.3
2006,Female,79,738,0.3
2006,Female,80,690,0.3
2006,Female,81,629,0.3
2006,Female,82,689,0.3
2006,Female,83,621,0.3
2006,Female,84,599,0.3
2006,Female,85,595,0.3
2006,Female,86,487,0.2
2006,Female,87,395,0.2
2006,Female,88,248,0.1
2006,Female,89,244,0.1
2006,Female,90,1036,0.5
2006,Male,0,1411,0.6
2006,Male,1,1388,0.6
2006,Male,2,1325,0.6
2006,Male,3,1338,0.6
2006,Male,4,1261,0.6
2006,Male,5,1240,0.6
2006,Male,6,1310,0.6
2006,Male,7,1402,0.6
2006,Male,8,1383,0.6
2006,Male,9,1376,0.6
2006,Male,10,1323,0.6
2006,Male,11,1451,0.7
2006,Male,12,1509,0.7
2006,Male,13,1482,0.7
2006,Male,14,1559,0.7
2006,Male,15,1599,0.7
2006,Male,16,1513,0.7
2006,Male,17,1477,0.7
2006,Male,18,1488,0.7
2006,Male,19,1057,0.5
2006,Male,20,1026,0.5
2006,Male,21,1040,0.5
2006,Male,22,1100,0.5
2006,Male,23,1139,0.5
2006,Male,24,1205,0.6
2006,Male,25,1297,0.6
2006,Male,26,1370,0.6
2006,Male,27,1331,0.6
2006,Male,28,1296,0.6
2006,Male,29,1352,0.6
2006,Male,30,1329,0.6
2006,Male,31,1475,0.7
2006,Male,32,1482,0.7
2006,Male,33,1555,0.7
2006,Male,34,1685,0.8
2006,Male,35,1731,0.8
2006,Male,36,1658,0.8
2006,Male,37,1694,0.8
2006,Male,38,1707,0.8
2006,Male,39,1730,0.8
2006,Male,40,1752,0.8
2006,Male,41,1854,0.9
2006,Male,42,1801,0.8
2006,Male,43,1828,0.8
2006,Male,44,1706,0.8
2006,Male,45,1592,0.7
2006,Male,46,1585,0.7
2006,Male,47,1597,0.7
2006,Male,48,1622,0.7
2006,Male,49,1504,0.7
2006,Male,50,1418,0.7
2006,Male,51,1338,0.6
2006,Male,52,1324,0.6
2006,Male,53,1275,0.6
2006,Male,54,1293,0.6
2006,Male,55,1295,0.6
2006,Male,56,1277,0.6
2006,Male,57,1357,0.6
2006,Male,58,1467,0.7
2006,Male,59,1407,0.6
2006,Male,60,1098,0.5
2006,Male,61,1062,0.5
2006,Male,62,1097,0.5
2006,Male,63,1023,0.5
2006,Male,64,827,0.4
2006,Male,65,782,0.4
2006,Male,66,867,0.4
2006,Male,67,895,0.4
2006,Male,68,914,0.4
2006,Male,69,864,0.4
2006,Male,70,886,0.4
2006,Male,71,810,0.4
2006,Male,72,785,0.4
2006,Male,73,751,0.3
2006,Male,74,751,0.3
2006,Male,75,684,0.3
2006,Male,76,686,0.3
2006,Male,77,598,0.3
2006,Male,78,539,0.2
2006,Male,79,541,0.2
2006,Male,80,450,0.2
2006,Male,81,446,0.2
2006,Male,82,404,0.2
2006,Male,83,376,0.2
2006,Male,84,352,0.2
2006,Male,85,339,0.2
2006,Male,86,239,0.1
2006,Male,87,183,0.1
2006,Male,88,158,0.1
2006,Male,89,118,0.1
2006,Male,90,380,0.2
2016,Female,0,1439,0.6
2016,Female,1,1364,0.6
2016,Female,2,1519,0.6
2016,Female,3,1432,0.6
2016,Female,4,1539,0.7
2016,Female,5,1655,0.7
2016,Female,6,1587,0.7
2016,Female,7,1603,0.7
2016,Female,8,1622,0.7
2016,Female,9,1565,0.7
2016,Female,10,1548,0.7
2016,Female,11,1533,0.7
2016,Female,12,1470,0.6
2016,Female,13,1440,0.6
2016,Female,14,1420,0.6
2016,Female,15,1342,0.6
2016,Female,16,1427,0.6
2016,Female,17,1372,0.6
2016,Female,18,1343,0.6
2016,Female,19,896,0.4
2016,Female,20,838,0.4
2016,Female,21,918,0.4
2016,Female,22,1025,0.4
2016,Female,23,1065,0.5
2016,Female,24,1190,0.5
2016,Female,25,1299,0.6
2016,Female,26,1317,0.6
2016,Female,27,1251,0.5
2016,Female,28,1301,0.6
2016,Female,29,1276,0.5
2016,Female,30,1472,0.6
2016,Female,31,1628,0.7
2016,Female,32,1674,0.7
2016,Female,33,1539,0.7
2016,Female,34,1659,0.7
2016,Female,35,1840,0.8
2016,Female,36,1678,0.7
2016,Female,37,1842,0.8
2016,Female,38,1755,0.7
2016,Female,39,1639,0.7
2016,Female,40,1705,0.7
2016,Female,41,1708,0.7
2016,Female,42,1644,0.7
2016,Female,43,1782,0.8
2016,Female,44,1915,0.8
2016,Female,45,1847,0.8
2016,Female,46,1819,0.8
2016,Female,47,1785,0.8
2016,Female,48,1833,0.8
2016,Female,49,1798,0.8
2016,Female,50,1855,0.8
2016,Female,51,1880,0.8
2016,Female,52,1887,0.8
2016,Female,53,1789,0.8
2016,Female,54,1686,0.7
2016,Female,55,1597,0.7
2016,Female,56,1473,0.6
2016,Female,57,1455,0.6
2016,Female,58,1445,0.6
2016,Female,59,1316,0.6
2016,Female,60,1244,0.5
2016,Female,61,1260,0.5
2016,Female,62,1148,0.5
2016,Female,63,1156,0.5
2016,Female,64,1107,0.5
2016,Female,65,1180,0.5
2016,Female,66,1241,0.5
2016,Female,67,1154,0.5
2016,Female,68,1244,0.5
2016,Female,69,1299,0.6
2016,Female,70,1017,0.4
2016,Female,71,1037,0.4
2016,Female,72,1040,0.4
2016,Female,73,959,0.4
2016,Female,74,827,0.4
2016,Female,75,791,0.3
2016,Female,76,882,0.4
2016,Female,77,879,0.4
2016,Female,78,823,0.4
2016,Female,79,786,0.3
2016,Female,80,766,0.3
2016,Female,81,727,0.3
2016,Female,82,696,0.3
2016,Female,83,582,0.2
2016,Female,84,572,0.2
2016,Female,85,582,0.2
2016,Female,86,583,0.2
2016,Female,87,467,0.2
2016,Female,88,407,0.2
2016,Female,89,367,0.2
2016,Female,90,1455,0.6
2016,Male,0,1449,0.6
2016,Male,1,1427,0.6
2016,Male,2,1554,0.7
2016,Male,3,1523,0.6
2016,Male,4,1751,0.7
2016,Male,5,1672,0.7
2016,Male,6,1660,0.7
2016,Male,7,1626,0.7
2016,Male,8,1725,0.7
2016,Male,9,1622,0.7
2016,Male,10,1654,0.7
2016,Male,11,1631,0.7
2016,Male,12,1481,0.6
2016,Male,13,1527,0.7
2016,Male,14,1430,0.6
2016,Male,15,1389,0.6
2016,Male,16,1442,0.6
2016,Male,17,1514,0.6
2016,Male,18,1438,0.6
2016,Male,19,1104,0.5
2016,Male,20,950,0.4
2016,Male,21,1043,0.4
2016,Male,22,1204,0.5
2016,Male,23,1225,0.5
2016,Male,24,1294,0.6
2016,Male,25,1338,0.6
2016,Male,26,1211,0.5
2016,Male,27,1306,0.6
2016,Male,28,1433,0.6
2016,Male,29,1284,0.5
2016,Male,30,1380,0.6
2016,Male,31,1437,0.6
2016,Male,32,1510,0.6
2016,Male,33,1524,0.6
2016,Male,34,1521,0.6
2016,Male,35,1649,0.7
2016,Male,36,1600,0.7
2016,Male,37,1566,0.7
2016,Male,38,1559,0.7
2016,Male,39,1610,0.7
2016,Male,40,1524,0.6
2016,Male,41,1647,0.7
2016,Male,42,1623,0.7
2016,Male,43,1632,0.7
2016,Male,44,1793,0.8
2016,Male,45,1783,0.8
2016,Male,46,1716,0.7
2016,Male,47,1767,0.8
2016,Male,48,1662,0.7
2016,Male,49,1636,0.7
2016,Male,50,1722,0.7
2016,Male,51,1750,0.7
2016,Male,52,1741,0.7
2016,Male,53,1755,0.7
2016,Male,54,1657,0.7
2016,Male,55,1464,0.6
2016,Male,56,1507,0.6
2016,Male,57,1449,0.6
2016,Male,58,1462,0.6
2016,Male,59,1339,0.6
2016,Male,60,1311,0.6
2016,Male,61,1234,0.5
2016,Male,62,1208,0.5
2016,Male,63,1124,0.5
2016,Male,64,1141,0.5
2016,Male,65,1116,0.5
2016,Male,66,1110,0.5
2016,Male,67,1130,0.5
2016,Male,68,1227,0.5
2016,Male,69,1204,0.5
2016,Male,70,921,0.4
2016,Male,71,877,0.4
2016,Male,72,933,0.4
2016,Male,73,847,0.4
2016,Male,74,700,0.3
2016,Male,75,640,0.3
2016,Male,76,692,0.3
2016,Male,77,711,0.3
2016,Male,78,653,0.3
2016,Male,79,611,0.3
2016,Male,80,610,0.3
2016,Male,81,501,0.2
2016,Male,82,493,0.2
2016,Male,83,451,0.2
2016,Male,84,442,0.2
2016,Male,85,375,0.2
2016,Male,86,352,0.1
2016,Male,87,284,0.1
2016,Male,88,235,0.1
2016,Male,89,205,0.1
2016,Male,90,624,0.3
