geography,period,area_code,area_name,language,n
Ward,2011,E05000819,Altrincham,English (English or Welsh if in Wales),10261
Ward,2011,E05000819,Altrincham,Welsh/Cymraeg (in England only),9
Ward,2011,E05000819,Altrincham,Gaelic (Irish),1
Ward,2011,E05000819,Altrincham,Gaelic (Scottish),0
Ward,2011,E05000819,Altrincham,Manx Gaelic,1
Ward,2011,E05000819,Altrincham,Gaelic (Not otherwise specified),0
Ward,2011,E05000819,Altrincham,Cornish,0
Ward,2011,E05000819,Altrincham,Scots,1
Ward,2011,E05000819,Altrincham,Gypsy/Traveller languages,0
Ward,2011,E05000819,Altrincham,French,44
Ward,2011,E05000819,Altrincham,Portuguese,8
Ward,2011,E05000819,Altrincham,Spanish,24
Ward,2011,E05000819,Altrincham,Italian,17
Ward,2011,E05000819,Altrincham,German,18
Ward,2011,E05000819,Altrincham,Polish,152
Ward,2011,E05000819,Altrincham,Slovak,25
Ward,2011,E05000819,Altrincham,Czech,18
Ward,2011,E05000819,Altrincham,Romanian,9
Ward,2011,E05000819,Altrincham,Lithuanian,2
Ward,2011,E05000819,Altrincham,Latvian,0
Ward,2011,E05000819,Altrincham,Hungarian,10
Ward,2011,E05000819,Altrincham,Bulgarian,6
Ward,2011,E05000819,Altrincham,Greek,6
Ward,2011,E05000819,Altrincham,Dutch,4
Ward,2011,E05000819,Altrincham,Swedish,4
Ward,2011,E05000819,Altrincham,Danish,0
Ward,2011,E05000819,Altrincham,Finnish,3
Ward,2011,E05000819,Altrincham,Estonian,0
Ward,2011,E05000819,Altrincham,Slovenian,1
Ward,2011,E05000819,Altrincham,Maltese,0
Ward,2011,E05000819,Altrincham,Any other European Language (EU),7
Ward,2011,E05000819,Altrincham,Albanian,3
Ward,2011,E05000819,Altrincham,Serbian/Croatian/Bosnian,5
Ward,2011,E05000819,Altrincham,Ukrainian,0
Ward,2011,E05000819,Altrincham,Any other Eastern European Language (non EU),0
Ward,2011,E05000819,Altrincham,Northern European Language (non EU),0
Ward,2011,E05000819,Altrincham,Romani language (any),0
Ward,2011,E05000819,Altrincham,Yiddish,0
Ward,2011,E05000819,Altrincham,Russian,15
Ward,2011,E05000819,Altrincham,Turkish,2
Ward,2011,E05000819,Altrincham,Arabic,17
Ward,2011,E05000819,Altrincham,Hebrew,1
Ward,2011,E05000819,Altrincham,Kurdish,1
Ward,2011,E05000819,Altrincham,Persian/Farsi,15
Ward,2011,E05000819,Altrincham,Pashto,4
Ward,2011,E05000819,Altrincham,West/Central Asian Language (all other),1
Ward,2011,E05000819,Altrincham,Urdu,35
Ward,2011,E05000819,Altrincham,Hindi,22
Ward,2011,E05000819,Altrincham,Panjabi,11
Ward,2011,E05000819,Altrincham,Pakistani Pahari (with Mirpuri and Potwari),0
