area_code,area_name,median_price,min_price,max_price,transactions
E05000824,Bucklow-St Martins,145000,77000,325000,101
E05000829,Gorse Hill,176875,82500,382500,174
E05000832,Longford,181000,43750,586000,157
E05000836,Stretford,202500,74000,395000,136
E05000825,Clifford,206300,102000,439000,100
E05000833,Priory,208250,69880,875000,246
E05000827,Davyhulme West,223000,100000,732000,181
E05000826,Davyhulme East,230000,117000,540000,123
E05000828,Flixton,236000,64000,677500,189
E05000838,Urmston,236000,92000,670000,181
E05000835,Sale Moor,243750,86500,905000,154
E05000834,St Mary's,252600,63500,1875000,160
E05000819,Altrincham,257750,53500,2650000,374
E05000822,Broadheath,268000,45000,629950,258
E05000839,Village,271475,80000,850000,148
E05000820,Ashton upon Mersey,275000,89950,880000,186
E05000823,Brooklands,316000,75000,800000,161
E05000837,Timperley,335000,90000,775000,166
E05000831,Hale Central,425000,81000,3500000,199
E05000830,Hale Barns,560500,135000,6800000,162
E05000821,Bowdon,577500,107500,3200000,168
