date,area_name,area_code,measure,age,count,percent
March 2018,Altrincham,E36006405,Claimant count,18-24,15,13.6
March 2018,Ashton upon Mersey,E36006406,Claimant count,18-24,5,6.2
March 2018,Bowdon,E36006407,Claimant count,18-24,5,9.1
March 2018,Broadheath,E36006408,Claimant count,18-24,20,17.4
March 2018,Brooklands,E36006409,Claimant count,18-24,10,15.4
March 2018,Bucklow-St Martins,E36006410,Claimant count,18-24,55,20.4
March 2018,Clifford,E36006411,Claimant count,18-24,65,19.4
March 2018,Davyhulme East,E36006412,Claimant count,18-24,15,17.6
March 2018,Davyhulme West,E36006413,Claimant count,18-24,20,22.2
March 2018,Flixton,E36006414,Claimant count,18-24,15,15.8
March 2018,Gorse Hill,E36006415,Claimant count,18-24,45,15.5
March 2018,Hale Barns,E36006416,Claimant count,18-24,5,14.3
March 2018,Hale Central,E36006417,Claimant count,18-24,5,11.1
March 2018,Longford,E36006418,Claimant count,18-24,45,17.6
March 2018,Priory,E36006419,Claimant count,18-24,15,15.8
March 2018,Sale Moor,E36006420,Claimant count,18-24,30,21.4
March 2018,St Mary's,E36006421,Claimant count,18-24,35,17.1
March 2018,Stretford,E36006422,Claimant count,18-24,45,19.1
March 2018,Timperley,E36006423,Claimant count,18-24,5,12.5
March 2018,Urmston,E36006424,Claimant count,18-24,20,16
March 2018,Village,E36006425,Claimant count,18-24,25,20
March 2018,Altrincham,E36006405,Claimant count,25-34,30,27.3
March 2018,Ashton upon Mersey,E36006406,Claimant count,25-34,15,18.8
March 2018,Bowdon,E36006407,Claimant count,25-34,15,27.3
March 2018,Broadheath,E36006408,Claimant count,25-34,25,21.7
March 2018,Brooklands,E36006409,Claimant count,25-34,15,23.1
March 2018,Bucklow-St Martins,E36006410,Claimant count,25-34,75,27.8
March 2018,Clifford,E36006411,Claimant count,25-34,100,29.9
March 2018,Davyhulme East,E36006412,Claimant count,25-34,20,23.5
March 2018,Davyhulme West,E36006413,Claimant count,25-34,15,16.7
March 2018,Flixton,E36006414,Claimant count,25-34,30,31.6
March 2018,Gorse Hill,E36006415,Claimant count,25-34,90,31
March 2018,Hale Barns,E36006416,Claimant count,25-34,10,28.6
March 2018,Hale Central,E36006417,Claimant count,25-34,10,22.2
March 2018,Longford,E36006418,Claimant count,25-34,70,27.5
March 2018,Priory,E36006419,Claimant count,25-34,15,15.8
March 2018,Sale Moor,E36006420,Claimant count,25-34,30,21.4
